Rank	Vector Label	Distance	
89	classical\classical_artist_33_album_1_track_1.mp3	7.9867	
90	classical\classical_artist_24_album_1_track_4.mp3	8.0007	
91	classical\classical_16-besse_bell.mp3	8.0069	
92	classical\classical_1-concerto_no.1_in_d_major_rv_2.mp3	8.0152	
93	world\world_artist_119_album_2_track_2.mp3	8.0236	
94	rock_pop\rock_pop_artist_90_album_1_track_3.mp3	8.0381	
95	classical\classical_20-fabordon_del_primer_tono.mp3	8.0394	
96	classical\classical_artist_16_album_1_track_7.mp3	8.0578	
97	classical\classical_artist_33_album_2_track_4.mp3	8.0579	
98	classical\classical_2-marionas.mp3	8.0651	
99	classical\classical_2-concerto_for_2_violins_2_cellos_strings_&_continuo_in_g_rv_575_largo.mp3	8.0749	
100	classical\classical_2-sonata_no._6_in_g_minor_allegro.mp3	8.0754	
